gene	neg.1	neg.2	day1.1	day1.2
NM_178552	3.45	3.01	6	2.93
NM_173050	4.21	3.17	6.02	6.24
NM_001001653	551	1180	437	615
A_24_P24645	7150	14500	5200	6500
NM_019062	3.31	3.04	6.13	2.95
NM_174909	1850	4560	1220	3570
THC2440818	20.3	19	55.7	22.4
NM_020141	299	454	151	309
AK093762	25.3	28.6	8.52	23.6
NM_007277	407	522	229	478
THC2282993	3.16	3.07	6.44	2.97
BC015876	3.15	3.07	6.5	2.97
AK027383	3.13	7.86	6.56	4.61
A_24_P932919	3.12	3.08	6.63	2.97
BC034827	270	368	64.7	282
NM_002560	64.2	110	55.3	173
ENST00000373670	1080	2200	984	3330
NM_020814	625	1640	510	1000
NM_012282	79	92	105	120
NM_015160	6410	11800	5280	7130
AK074166	3.12	3.08	7.08	2.95
NM_000086	3090	4420	3100	3910
NM_014638	3.13	3.07	7.2	2.93
ENST00000300590	27.2	53.1	19.9	51.3
NM_021107	37400	78600	38100	51500
DarkCorner	3.17	3.04	7.34	2.88
DarkCorner	3.18	3.03	7.38	2.87
DarkCorner	3.2	3.02	7.4	2.85
DarkCorner	3.22	3.01	7.42	2.82
DarkCorner	3.24	2.99	7.43	2.8
DarkCorner	7.62	2.98	7.43	2.77
DarkCorner	3.28	2.96	7.42	2.74
DarkCorner	6.89	2.65	6.65	2.65
DarkCorner	7.01	2.67	6.8	2.68
DarkCorner	7.11	2.69	6.93	2.7
DarkCorner	7.18	2.71	7.05	2.72
DarkCorner	7.25	2.72	7.16	2.74
DarkCorner	7.29	2.74	7.25	2.75
DarkCorner	7.32	2.75	7.33	2.77
NM_016161	7.34	2.77	7.38	2.78
A_24_P489399	769	1540	872	1120
E1A_r60_3	7.33	2.79	8.66	2.8
NM_001655	165	174	93.9	146
NM_002247	227	514	303	566
NM_018112	472	553	198	512
NM_006229	7.15	2.83	7.47	2.84
NM_153752	7.08	2.83	7.44	2.84
NM_000223	7.01	2.84	7.41	2.85
NR_002712	31.1	41.6	24.8	40.5
NM_002667	6.83	2.85	7.33	2.85
NM_032199	6.73	7.19	7.28	4.27
ENST00000379877	40.4	79.7	85.7	67.3
H70813	6.52	2.87	7.16	2.86
NM_145257	86.3	150	211	191
NM_004152	220000	294000	247000	272000
